reading_id,reading_date,consumption_value,temperature,meter_code,meter_type,meter_unit,building_code,building_name,region_code,region_name,created_at,updated_at,extraction_timestamp,source_type,source_filename
81,2025/01/01 13:00:00.000,28.29,20.28,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
89,2025/01/01 12:00:00.000,17.69,18.95,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
97,2025/01/01 11:00:00.000,21.64,11.34,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
105,2025/01/01 10:00:00.000,14.18,15.12,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
113,2025/01/01 09:00:00.000,15.58,21.96,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
121,2025/01/01 08:00:00.000,15.57,23.65,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
129,2025/01/01 07:00:00.000,33.17,23.34,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
137,2025/01/01 06:00:00.000,35.97,11.16,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
145,2025/01/01 05:00:00.000,19.54,17.86,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
153,2025/01/01 04:00:00.000,39.27,10.01,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
161,2025/01/01 03:00:00.000,29.13,16.03,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
169,2025/01/01 02:00:00.000,23.4,15.6,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
177,2025/01/01 01:00:00.000,36.75,21.07,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
185,2025/01/01 00:00:00.000,24.47,20.46,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
193,2025/01/02 23:00:00.000,32.45,16.24,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
201,2025/01/02 22:00:00.000,25.31,22.87,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
209,2025/01/02 21:00:00.000,21.92,11.2,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
217,2025/01/02 20:00:00.000,11.88,15.37,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
225,2025/01/02 19:00:00.000,36.13,10.65,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
233,2025/01/02 18:00:00.000,19.61,10.08,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
241,2025/01/02 17:00:00.000,22.74,22.17,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
249,2025/01/02 16:00:00.000,17.94,22.02,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
257,2025/01/02 15:00:00.000,11.43,23.07,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
265,2025/01/02 14:00:00.000,29.38,23.01,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
273,2025/01/02 13:00:00.000,26.1,16.88,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
281,2025/01/02 12:00:00.000,37.88,22.17,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
289,2025/01/02 11:00:00.000,38.31,19.0,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
297,2025/01/02 10:00:00.000,36.81,12.52,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
305,2025/01/02 09:00:00.000,21.31,20.07,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
313,2025/01/02 08:00:00.000,12.5,20.85,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
321,2025/01/02 07:00:00.000,17.85,13.25,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
329,2025/01/02 06:00:00.000,27.28,13.41,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
337,2025/01/02 05:00:00.000,22.66,16.14,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
345,2025/01/02 04:00:00.000,30.79,22.03,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
353,2025/01/02 03:00:00.000,28.95,22.29,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
361,2025/01/02 02:00:00.000,14.62,14.49,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
369,2025/01/02 01:00:00.000,30.33,15.16,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
377,2025/01/02 00:00:00.000,20.12,16.78,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
385,2025/01/03 23:00:00.000,13.04,21.29,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
393,2025/01/03 22:00:00.000,21.22,21.51,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
401,2025/01/03 21:00:00.000,17.52,22.36,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
409,2025/01/03 20:00:00.000,32.93,21.37,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
417,2025/01/03 19:00:00.000,32.93,17.52,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
425,2025/01/03 18:00:00.000,23.36,15.58,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
433,2025/01/03 17:00:00.000,21.71,19.41,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
441,2025/01/03 16:00:00.000,14.47,16.04,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
449,2025/01/03 15:00:00.000,34.61,22.97,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
457,2025/01/03 14:00:00.000,31.91,20.9,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
465,2025/01/03 13:00:00.000,16.45,15.61,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
473,2025/01/03 12:00:00.000,39.62,16.56,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
481,2025/01/03 11:00:00.000,28.31,16.02,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
489,2025/01/03 10:00:00.000,37.22,14.85,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
497,2025/01/03 09:00:00.000,18.82,17.15,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
505,2025/01/03 08:00:00.000,36.69,17.36,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
513,2025/01/03 07:00:00.000,30.94,21.08,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
521,2025/01/03 06:00:00.000,25.01,24.72,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
529,2025/01/03 05:00:00.000,12.46,13.34,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
537,2025/01/03 04:00:00.000,33.27,15.53,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
545,2025/01/03 03:00:00.000,13.43,10.25,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
553,2025/01/03 02:00:00.000,18.75,12.23,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
561,2025/01/03 01:00:00.000,13.35,19.82,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
569,2025/01/03 00:00:00.000,19.49,14.02,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
577,2025/01/04 23:00:00.000,24.77,10.29,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
585,2025/01/04 22:00:00.000,28.89,16.61,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
593,2025/01/04 21:00:00.000,21.54,23.37,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
601,2025/01/04 20:00:00.000,26.3,17.45,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
609,2025/01/04 19:00:00.000,32.54,22.72,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
617,2025/01/04 18:00:00.000,39.42,12.59,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
625,2025/01/04 17:00:00.000,36.88,12.79,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
633,2025/01/04 16:00:00.000,25.46,14.42,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
641,2025/01/04 15:00:00.000,34.8,15.7,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
649,2025/01/04 14:00:00.000,17.92,19.49,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
657,2025/01/04 13:00:00.000,24.19,13.69,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
665,2025/01/04 12:00:00.000,36.05,14.37,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
673,2025/01/04 11:00:00.000,11.71,21.42,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
681,2025/01/04 10:00:00.000,23.61,10.5,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
689,2025/01/04 09:00:00.000,30.79,21.39,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
697,2025/01/04 08:00:00.000,24.64,20.15,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
705,2025/01/04 07:00:00.000,18.95,11.64,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
713,2025/01/04 06:00:00.000,31.53,18.16,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
721,2025/01/04 05:00:00.000,24.61,13.66,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
729,2025/01/04 04:00:00.000,36.52,22.0,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
737,2025/01/04 03:00:00.000,26.21,10.32,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
745,2025/01/04 02:00:00.000,37.44,14.16,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
753,2025/01/04 01:00:00.000,29.31,18.04,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
761,2025/01/04 00:00:00.000,15.7,15.46,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
769,2025/01/05 23:00:00.000,11.8,20.38,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
777,2025/01/05 22:00:00.000,15.16,17.93,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
785,2025/01/05 21:00:00.000,10.15,19.86,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
793,2025/01/05 20:00:00.000,35.94,15.55,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
801,2025/01/05 19:00:00.000,38.08,23.75,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
809,2025/01/05 18:00:00.000,12.1,23.21,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
817,2025/01/05 17:00:00.000,34.76,24.03,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
825,2025/01/05 16:00:00.000,34.4,23.95,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
