id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage,source_filename,extraction_timestamp,source_type
REG99,BAT999,2025-02-28,350            ,0.6  ,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-02-28,924            ,0.657,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-02-28,318            ,1.629,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-02-28,99999          ,0.1  ,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/02/28,510            ,0.72 ,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG01,,2025-02-28,380            ,0.65 ,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-02-28,-987           ,0.391,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-02-28,610            ,1.267,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-02-28,660            ,0.471,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-02-28,396            ,1.304,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-02-28,-441           ,0.375,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-02-28,622            ,0.63 ,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-02-28,350            ,0.6  ,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG04,,2025-02-28,948            ,0.387,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-02-28,492            ,0.733,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG04,,2025-02-28,574            ,0.643,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-02-28,337            ,1.546,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
,BAT001,2025-02-28,420            ,0.7  ,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-02-28,240            ,0.46 ,env_reports_02_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-03-31,391            ,0.768,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-03-31,575            ,0.63 ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-03-31,N/A            ,0.459,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT013,31/03/2025,,1.5  ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-03-31,N/A            ,0.57 ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT003,31/03/2025,,1.5  ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-03-31,539            ,0.4  ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-03-31,99999          ,0.1  ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-03-31,739            ,0.574,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-03-31,612            ,0.628,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-03-31,253            ,0.564,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/03/31,510            ,0.72 ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT008,31/03/2025,,1.5  ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
,BAT001,2025-03-31,420            ,0.7  ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-03-31,531            ,0.582,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,,2025-03-31,380            ,0.65 ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-03-31,350            ,0.6  ,env_reports_03_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-03-31,906            ,0.467,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-03-31,99999          ,0.1  ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-03-31,235            ,0.619,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT007,31/03/2025,,1.5  ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-03-31,N/A            ,0.683,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/03/31,510            ,0.72 ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-03-31,572            ,0.688,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
,BAT001,2025-03-31,420            ,0.7  ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-03-31,538            ,0.779,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT014,31/03/2025,,1.5  ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-03-31,613            ,0.675,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,,2025-03-31,380            ,0.65 ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT004,31/03/2025,,1.5  ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT013,31/03/2025,,1.5  ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-03-31,350            ,0.6  ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-03-31,N/A            ,0.51 ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT015,31/03/2025,,1.5  ,env_reports_03_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT006,31/03/2025,,1.5  ,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-03-31,634            ,0.801,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-03-31,350            ,0.6  ,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT003,31/03/2025,,1.5  ,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,,2025-03-31,380            ,0.65 ,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-03-31,690            ,0.583,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-03-31,942            ,0.819,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
  REG,BAT002,31/03/2025,,1.5  ,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-03-31,482            ,0.555,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-03-31,99999          ,0.1  ,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
,BAT001,2025-03-31,420            ,0.7  ,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT013,2025-03-31,713            ,0.433,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-03-31,297            ,0.512,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/03/31,510            ,0.72 ,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-03-31,854            ,0.624,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-03-31,239            ,0.818,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-03-31,689            ,0.76 ,env_reports_03_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-03-31,303            ,0.631,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
,BAT001,2025-03-31,420            ,0.7  ,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-03-31,350            ,0.6  ,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-03-31,531            ,0.76 ,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
  REG,BAT006,31/03/2025,,1.5  ,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG01,,2025-03-31,380            ,0.65 ,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-03-31,278            ,0.679,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-03-31,99999          ,0.1  ,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/03/31,510            ,0.72 ,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-03-31,219            ,0.427,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-03-31,289            ,Non m,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-03-31,381            ,0.843,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-03-31,N/A            ,0.425,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-03-31,968            ,0.572,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG04,BAT013,2025-03-31,N/A            ,0.503,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
  REG,BAT015,31/03/2025,,1.5  ,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-03-31,417            ,0.599,env_reports_03_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
