region_code,report_date,building_code,emission_co2_kg,recycling_rate,extraction_timestamp,source_filename,source_type,created_at,updated_at
REG03,2025-03-31,BAT008,531,0.76,2025/12/31 16:23:40.000,env_reports_03_2025.csv                                                                             ,csv  ,,
REG02,2025-03-31,BAT005,278,0.679,2025/12/31 16:23:40.000,env_reports_03_2025.csv                                                                             ,csv  ,,
REG02,2025/03/31,BAT003,510,0.72,2025/12/31 16:23:40.000,env_reports_03_2025.csv                                                                             ,csv  ,,
REG03,2025-03-31,BAT007,219,0.427,2025/12/31 16:23:40.000,env_reports_03_2025.csv                                                                             ,csv  ,,
REG01,2025-03-31,BAT002,381,0.843,2025/12/31 16:23:40.000,env_reports_03_2025.csv                                                                             ,csv  ,,
REG01,2025-03-31,BAT001,968,0.572,2025/12/31 16:23:40.000,env_reports_03_2025.csv                                                                             ,csv  ,,
REG02,2025-03-31,BAT003,417,0.599,2025/12/31 16:23:40.000,env_reports_03_2025.csv                                                                             ,csv  ,,
REG01,2025/01/31,BAT001,820.24,0.795,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG01,2025/01/31,BAT007,238.85,0.709,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG01,2025/01/31,BAT008,599.2,0.343,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG01,2025/01/31,BAT012,1087.24,0.675,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG02,2025/01/31,BAT004,931.11,0.327,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG02,2025/01/31,BAT010,1105.52,0.722,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG03,2025/01/31,BAT006,1175.04,0.486,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG03,2025/01/31,BAT009,754.59,0.785,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG04,2025/01/31,BAT016,238.16,0.447,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG05,2025/01/31,BAT014,1103.73,0.523,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
REG05,2025/01/31,BAT015,468.21,0.688,2025/12/29 17:45:59.000,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025/12/25 01:35:18.000,
